timestamp,event_type,query_type,zone_id,cache_key,latency_ms
1777518352.7441986,hit,Q3,Z1,density:Z1:conf=0.0,0.278472900390625
1777518352.7955518,hit,Q1,Z1,count:Z1:conf=0.7,0.7190704345703125
1777518352.8468816,hit,Q2,Z2,area:Z2:conf=0.7,0.5152225494384766
1777518352.8975172,hit,Q3,Z1,density:Z1:conf=0.0,0.6303787231445312
1777518352.9473848,hit,Q1,Z1,count:Z1:conf=0.5,0.6887912750244141
1777518352.997952,hit,Q5,Z2,confidence_dist:Z2:bins=10,0.5383491516113281
1777518353.0477455,hit,Q2,Z1,area:Z1:conf=0.7,0.48828125
1777518353.0982401,hit,Q1,Z3,count:Z3:conf=0.7,0.4591941833496094
1777518353.1474676,hit,Q1,Z2,count:Z2:conf=0.7,0.5035400390625
1777518353.1977508,hit,Q1,Z1,count:Z1:conf=0.0,0.5495548248291016
1777518353.2480423,hit,Q1,Z2,count:Z2:conf=0.0,0.5555152893066406
1777518353.2984896,hit,Q3,Z1,density:Z1:conf=0.5,0.4229545593261719
1777518353.3494039,hit,Q1,Z1,count:Z1:conf=0.5,0.36644935607910156
1777518353.4014978,hit,Q3,Z1,density:Z1:conf=0.5,1.1210441589355469
1777518353.5591729,miss,Q3,Z5,density:Z5:conf=0.0,109.62390899658203
1777518353.5657756,hit,Q3,Z1,density:Z1:conf=0.0,0.5700588226318359
1777518353.6160994,hit,Q3,Z1,density:Z1:conf=0.0,0.5736351013183594
1777518353.6658568,hit,Q1,Z1,count:Z1:conf=0.5,0.4677772521972656
1777518353.7188585,hit,Q1,Z1,count:Z1:conf=0.7,0.7398128509521484
1777518353.76777,hit,Q1,Z4,count:Z4:conf=0.5,0.43320655822753906
1777518353.8177116,hit,Q4,Z4,compare:density:Z4:Z2:conf=0.7,0.640869140625
1777518353.8678555,hit,Q1,Z1,count:Z1:conf=0.5,0.4954338073730469
1777518354.0270224,miss,Q4,Z2,compare:density:Z2:Z1:conf=0.5,108.66284370422363
1777518354.0325134,hit,Q2,Z1,area:Z1:conf=0.0,0.28514862060546875
1777518354.083443,hit,Q4,Z5,compare:density:Z5:Z1:conf=0.0,1.1551380157470703
1777518354.1326146,hit,Q2,Z1,area:Z1:conf=0.5,0.4146099090576172
1777518354.1824718,hit,Q4,Z1,compare:density:Z1:Z5:conf=0.5,0.4181861877441406
1777518354.23236,hit,Q3,Z1,density:Z1:conf=0.5,0.3879070281982422
1777518354.2832031,hit,Q1,Z1,count:Z1:conf=0.5,0.6148815155029297
1777518354.4418962,miss,Q2,Z4,area:Z4:conf=0.7,109.00640487670898
1777518354.4473405,hit,Q1,Z1,count:Z1:conf=0.0,0.44465065002441406
1777518354.4975069,hit,Q1,Z1,count:Z1:conf=0.0,0.5793571472167969
1777518354.5483096,hit,Q1,Z1,count:Z1:conf=0.5,0.5483627319335938
1777518354.599772,hit,Q1,Z1,count:Z1:conf=0.0,0.4589557647705078
1777518354.6493723,hit,Q2,Z1,area:Z1:conf=0.0,0.3829002380371094
1777518354.7000253,hit,Q2,Z1,area:Z1:conf=0.0,0.5574226379394531
1777518354.8582344,miss,Q3,Z5,density:Z5:conf=0.7,108.54864120483398
1777518354.8652184,hit,Q2,Z2,area:Z2:conf=0.0,0.377655029296875
1777518355.0258005,miss,Q2,Z3,area:Z3:conf=0.0,110.35037040710449
1777518355.032665,hit,Q1,Z1,count:Z1:conf=0.7,0.5509853363037109
1777518355.0834873,hit,Q2,Z2,area:Z2:conf=0.7,0.6110668182373047
1777518355.1332772,hit,Q1,Z1,count:Z1:conf=0.0,0.4436969757080078
1777518355.1840496,hit,Q2,Z4,area:Z4:conf=0.7,0.44345855712890625
1777518355.2343128,hit,Q3,Z3,density:Z3:conf=0.7,0.4532337188720703
1777518355.3940141,miss,Q4,Z1,compare:density:Z1:Z3:conf=0.7,109.52162742614746
1777518355.399773,hit,Q1,Z3,count:Z3:conf=0.7,0.4756450653076172
1777518355.4503229,hit,Q2,Z2,area:Z2:conf=0.0,0.5474090576171875
1777518355.5008643,hit,Q2,Z1,area:Z1:conf=0.0,0.3993511199951172
1777518355.5522194,hit,Q1,Z3,count:Z3:conf=0.0,0.6916522979736328
1777518355.6027977,hit,Q2,Z2,area:Z2:conf=0.0,0.5805492401123047
1777518355.6561928,hit,Q1,Z1,count:Z1:conf=0.0,1.1894702911376953
1777518355.705031,hit,Q2,Z1,area:Z1:conf=0.5,0.4444122314453125
1777518355.758269,hit,Q2,Z1,area:Z1:conf=0.0,1.3623237609863281
1777518355.8058906,hit,Q1,Z1,count:Z1:conf=0.0,0.34809112548828125
1777518355.8602011,hit,Q1,Z2,count:Z2:conf=0.5,0.6160736083984375
1777518355.9095147,hit,Q2,Z2,area:Z2:conf=0.7,0.3483295440673828
1777518355.9610634,hit,Q3,Z2,density:Z2:conf=0.0,0.49376487731933594
1777518356.0107,hit,Q1,Z1,count:Z1:conf=0.7,0.31876564025878906
1777518356.1668217,miss,Q5,Z4,confidence_dist:Z4:bins=5,105.07726669311523
1777518356.1734324,hit,Q1,Z3,count:Z3:conf=0.7,0.3216266632080078
1777518356.2267396,hit,Q5,Z3,confidence_dist:Z3:bins=10,1.028299331665039
1777518356.3807483,miss,Q1,Z4,count:Z4:conf=0.0,105.46398162841797
1777518356.3873506,hit,Q3,Z1,density:Z1:conf=0.0,1.0616779327392578
1777518356.438496,hit,Q5,Z2,confidence_dist:Z2:bins=5,0.6139278411865234
1777518356.4895337,hit,Q1,Z1,count:Z1:conf=0.7,0.9419918060302734
1777518356.5385106,hit,Q4,Z1,compare:density:Z1:Z3:conf=0.7,0.36978721618652344
1777518356.5904753,hit,Q1,Z1,count:Z1:conf=0.5,0.7414817810058594
1777518356.639482,hit,Q1,Z2,count:Z2:conf=0.5,0.35071372985839844
1777518356.692356,hit,Q2,Z1,area:Z1:conf=0.0,0.6563663482666016
1777518356.7407193,hit,Q3,Z1,density:Z1:conf=0.0,0.44155120849609375
1777518356.7933903,hit,Q4,Z1,compare:density:Z1:Z5:conf=0.0,0.5428791046142578
1777518356.841434,hit,Q2,Z1,area:Z1:conf=0.5,0.4360675811767578
1777518356.8936543,hit,Q5,Z1,confidence_dist:Z1:bins=5,0.5879402160644531
1777518356.9427967,hit,Q3,Z1,density:Z1:conf=0.5,0.5025863647460938
